Timestamp, Latency, #Try
1456842341244, 1001, 1
1456842342459, 996, 1
1456842346770, 999, 1
1456842347907, 1003, 1
1456842350872, 1006, 1
1456842353274, 1000, 1
1456842355697, 1002, 1
1456842357029, 1003, 1
1456842360601, 1002, 1
1456842361743, 996, 1
1456842365650, 1000, 1
1456842366747, 996, 1
1456842370703, 994, 1
1456842371810, 1003, 1
1456842375651, 1001, 1
1456842376738, 999, 1
1456842380630, 1004, 1
1456842381755, 994, 1
